City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
130,Egvekinot,RU,2020-05-11 00:55:34,66.32,-179.17,31.89,100,100,3.8,snow
131,Sungairaya,ID,2020-05-11 00:55:34,0.7,108.9,85.98,71,90,0.83,light rain
132,Pacific Grove,US,2020-05-11 00:55:34,36.62,-121.92,64.0,63,1,13.87,clear sky
133,Yerbogachen,RU,2020-05-11 00:55:34,61.28,108.01,38.8,67,16,9.55,few clouds
134,Poronaysk,RU,2020-05-11 00:55:34,49.22,143.12,40.95,86,100,2.86,overcast clouds
135,Bolgar,RU,2020-05-11 00:55:34,54.95,49.07,46.4,93,0,4.47,clear sky
136,Mar Del Plata,AR,2020-05-11 00:50:50,-38.0,-57.56,60.01,76,0,6.93,clear sky
137,Pangnirtung,CA,2020-05-11 00:55:35,66.15,-65.71,20.59,87,100,11.68,overcast clouds
138,Sidi Ali,DZ,2020-05-11 00:55:35,36.1,0.42,60.26,76,0,12.59,clear sky
139,Ilulissat,GL,2020-05-11 00:55:35,69.22,-51.1,32.0,96,94,8.05,overcast clouds
140,Hobart,AU,2020-05-11 00:54:54,-42.88,147.33,54.0,82,95,3.0,overcast clouds
141,Colima,MX,2020-05-11 00:55:35,19.17,-104.0,82.4,54,20,17.22,few clouds
142,Varzea Da Palma,BR,2020-05-11 00:53:03,-17.6,-44.73,59.85,81,0,2.04,clear sky
143,Lopsmarka,NO,2020-05-11 00:55:35,67.31,14.45,33.8,80,40,3.36,scattered clouds
144,Swellendam,ZA,2020-05-11 00:54:04,-34.02,20.44,59.0,93,0,1.12,clear sky
145,Along,IN,2020-05-11 00:55:35,28.17,94.77,73.2,62,15,1.52,few clouds
146,Tuatapere,NZ,2020-05-11 00:55:35,-46.13,167.68,56.16,74,100,1.48,light rain
147,Vallenar,CL,2020-05-11 00:55:36,-28.57,-70.76,58.55,68,0,0.81,clear sky
148,Clyde River,CA,2020-05-11 00:55:36,70.47,-68.59,14.0,78,90,2.24,overcast clouds
149,Cabedelo,BR,2020-05-11 00:55:36,-6.98,-34.83,77.0,94,20,4.7,few clouds
150,Saint-Philippe,RE,2020-05-11 00:55:36,-21.36,55.77,69.8,77,20,10.29,few clouds
151,Torata,PE,2020-05-11 00:55:36,-17.08,-70.84,61.48,48,8,0.92,clear sky
152,Evensk,RU,2020-05-11 00:55:36,61.95,159.23,34.95,97,100,4.03,overcast clouds
153,Castro,BR,2020-05-11 00:55:36,-24.79,-50.01,54.28,91,0,4.47,clear sky
154,Nabire,ID,2020-05-11 00:55:36,-3.37,135.48,80.26,84,100,0.83,overcast clouds
155,Ostrovnoy,RU,2020-05-11 00:55:36,68.05,39.51,33.4,92,100,20.4,overcast clouds
156,Llangefni,GB,2020-05-11 00:55:37,53.26,-4.31,42.8,52,0,20.8,clear sky
157,Mogadishu,SO,2020-05-11 00:55:37,2.04,45.34,80.24,84,85,14.03,overcast clouds
158,Pingliang,CN,2020-05-11 00:55:37,35.54,106.69,52.05,37,46,12.06,scattered clouds
159,Avera,US,2020-05-11 00:55:37,33.19,-82.53,66.2,52,1,3.94,clear sky
160,Cape Town,ZA,2020-05-11 00:54:54,-33.93,18.42,62.01,93,0,9.17,clear sky
161,Tasiilaq,GL,2020-05-11 00:55:37,65.61,-37.64,28.4,92,0,11.41,clear sky
162,Mporokoso,ZM,2020-05-11 00:55:37,-9.37,30.12,57.92,87,61,7.87,broken clouds
163,Chuy,UY,2020-05-11 00:55:37,-33.7,-53.46,65.17,77,0,10.13,clear sky
164,Poya,NC,2020-05-11 00:55:38,-21.35,165.15,77.02,63,22,1.81,few clouds
165,Kindu,CD,2020-05-11 00:55:38,-2.95,25.95,71.02,97,98,1.54,overcast clouds
166,Lompoc,US,2020-05-11 00:51:36,34.64,-120.46,61.0,82,90,4.7,overcast clouds
167,Port-Gentil,GA,2020-05-11 00:55:38,-0.72,8.78,75.6,89,100,4.94,light rain
168,Carnarvon,AU,2020-05-11 00:55:38,-24.87,113.63,73.15,56,1,8.52,clear sky
169,Vallam,IN,2020-05-11 00:55:38,10.72,79.08,84.2,79,20,3.36,few clouds
170,Hambantota,LK,2020-05-11 00:55:38,6.12,81.12,77.0,100,20,1.12,few clouds
171,Namibe,AO,2020-05-11 00:55:38,-15.2,12.15,77.97,54,18,3.31,few clouds
172,Bambous Virieux,MU,2020-05-11 00:55:38,-20.34,57.76,71.6,56,40,9.17,scattered clouds
173,Kautokeino,NO,2020-05-11 00:55:38,69.01,23.04,21.2,92,99,10.65,overcast clouds
