City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
105,Mournies,GR,60.8,overcast clouds,35.48,24.01,Civitel Akali Hotel
107,Port Lincoln,AU,58.1,overcast clouds,-34.73,135.87,Port Lincoln Hotel
110,Praia Da Vitoria,PT,57.2,scattered clouds,38.73,-27.07,Hotel Branco I
112,Zemes,RO,54.0,overcast clouds,46.58,26.42,Motel Zemeș
113,Belyy Yar,RU,51.8,clear sky,53.6,91.39,Pasportnyy Stol
114,Kamariotissa,GR,59.0,overcast clouds,40.48,25.47,Niki Beach
117,Tyachiv,UA,62.6,overcast clouds,48.01,23.57,готель Серпанок
119,Solnechnyy,RU,50.88,overcast clouds,50.72,136.63,Hotel complex Pastoral
121,Bedesa,ET,62.65,few clouds,8.9,40.78,
123,Fort Nelson,CA,55.4,few clouds,58.81,-122.7,The Fort Nelson Hotel
125,Gilgit,PK,62.55,overcast clouds,35.92,74.31,Tourist Hamlet Gilgit
126,Virginia Beach,US,60.01,clear sky,36.85,-75.98,Hilton Virginia Beach Oceanfront
128,Berezovyy,RU,55.96,broken clouds,51.67,135.7,"Hotel ""Phoenix"""
130,Saldanha,ZA,59.0,clear sky,-33.01,17.94,Blue Bay Lodge
131,Richards Bay,ZA,62.62,clear sky,-28.78,32.04,BON Hotel Waterfront Richards Bay
136,Lata,PT,59.0,light rain,40.16,-8.33,Casa Maquia
140,Irbeyskoye,RU,63.39,overcast clouds,55.64,95.45,"Gostinitsa ""Agul"""
141,Colares,PT,61.0,light rain,38.8,-9.45,Arribas Sintra Hotel
142,Geraldton,AU,62.6,overcast clouds,-28.77,114.6,Broadwater Mariner Resort
144,Starosubkhangulovo,RU,52.38,overcast clouds,53.1,57.44,"Gostinichnyy Kompleks ""Yulbars"""
145,Kensington,AU,62.01,clear sky,-33.92,151.22,Stamford Plaza Sydney Airport Hotel & Conference Centre
148,Ankang,CN,62.01,overcast clouds,32.68,109.02,安琪酒店
153,Teya,RU,57.04,light rain,60.38,92.63,
154,Asau,RO,54.0,overcast clouds,46.43,26.4,Casa Mika Ciobanus
155,Yumen,CN,50.74,clear sky,40.28,97.2,
157,Sabirabad,AZ,53.6,overcast clouds,40.01,48.48,Mugan Park Hotel
160,Theog,IN,53.31,clear sky,31.12,77.35,Hang Out Home Stay
165,Makinsk,KZ,61.03,clear sky,52.63,70.42,Гостиница Scandi
169,Erenhot,CN,56.82,scattered clouds,43.65,111.98,Erenhot Rurouni Youth Hostel
172,Vila Franca Do Campo,PT,59.0,scattered clouds,37.72,-25.43,Pestana Bahia Praia
